BinStart,BinEnd,Count
-188.2116590399284,-161.48548182184118,12
-161.48548182184118,-134.75930460375392,23
-134.75930460375392,-108.03312738566669,102
-108.03312738566669,-81.30695016757944,116
-81.30695016757944,-54.5807729494922,59
-54.5807729494922,-27.85459573140497,24
-27.85459573140497,-1.1284185133177118,3
-1.1284185133177118,25.597758704769518,7
25.597758704769518,52.32393592285675,15
52.32393592285675,79.050113140944,30
79.050113140944,105.77629035903124,82
105.77629035903124,132.50246757711847,118
132.50246757711847,159.2286447952057,134
159.2286447952057,185.95482201329298,120
185.95482201329298,212.6809992313802,83
212.6809992313802,239.40717644946744,50
239.40717644946744,266.1333536675547,14
266.1333536675547,292.8595308856419,6
292.8595308856419,319.5857081037292,1
319.5857081037292,346.3118853218164,1
